1	1	Frozen Meat	Daging beku yang memerlukan suhu < 5°C	150.5
2	2	Pharmaceuticals	Obat-obatan yang memerlukan suhu 2-8°C	50.3
3	3	Dairy Products	Produk susu yang memerlukan suhu dingin	75
4	4	Vegetables	Sayuran segar yang memerlukan suhu optimal	200
5	5	Seafood	Produk laut beku	300.5
6	1	Frozen Meat	Daging beku yang memerlukan suhu < 5°C	150.5
7	2	Pharmaceuticals	Obat-obatan yang memerlukan suhu 2-8°C	50.3
8	3	Dairy Products	Produk susu yang memerlukan suhu dingin	75
9	4	Vegetables	Sayuran segar yang memerlukan suhu optimal	200
10	5	Seafood	Produk laut beku	300.5
11	1	Frozen Meat	Daging beku yang memerlukan suhu < 5°C	150.5
12	2	Pharmaceuticals	Obat-obatan yang memerlukan suhu 2-8°C	50.3
13	3	Dairy Products	Produk susu yang memerlukan suhu dingin	75
14	4	Vegetables	Sayuran segar yang memerlukan suhu optimal	200
15	5	Seafood	Produk laut beku	300.5
\.


